prog_id,cache_references,cache_misses,miss_rate,wall_time_s,status
263,15416,4377,0.283926,0.0379,ok
264,5371078,65367,0.01217,0.2178,ok
265,33185349,307608,0.009269,0.7669,ok
266,15266586,50189,0.003288,0.2901,ok
267,17881,7517,0.42039,0.0714,ok
268,1069371,6197,0.005795,0.0773,ok
269,333184083,3330303,0.009995,6.9053,ok
270,33222961,392927,0.011827,0.7509,ok
271,11479,4754,0.414148,0.0488,ok
272,15598489,80356,0.005152,0.3864,ok
273,39991,6612,0.165337,0.057,ok
274,116883,5091,0.043556,0.0399,ok
275,5459623,75711,0.013867,0.2101,ok
276,15834,4367,0.275799,0.0404,ok
277,15250423,66044,0.004331,0.2942,ok
278,19136,7261,0.379442,0.0621,ok
279,1499350469,9847022,0.006568,28.1109,ok
280,52970305,792733,0.014966,1.9227,ok
281,14998033,123675,0.008246,0.4295,ok
282,1519549315,10067316,0.006625,28.4753,ok
283,1075939,6781,0.006302,0.1228,ok
284,58240,5758,0.098867,0.0891,ok
285,14923711,80448,0.005391,0.4027,ok
286,153731881,489771,0.003186,2.7606,ok
287,1061204,5513,0.005195,0.0667,ok
288,12709,4472,0.351877,0.0321,ok
289,14702,5187,0.352809,0.0288,ok
290,52977,5521,0.104215,0.0486,ok
291,1072081,6501,0.006064,0.1362,ok
292,117317,5400,0.046029,0.0423,ok
293,3308713,46728,0.014123,0.0968,ok
294,1474726678,9785858,0.006636,28.4154,ok
295,33123344,304189,0.009184,0.731,ok
296,53540867,476955,0.008908,1.7171,ok
297,10620966,26212,0.002468,0.446,ok
298,10405,4600,0.442095,0.0529,ok
299,333064228,3258021,0.009782,6.8224,ok
300,10784500,27509,0.002551,0.4718,ok
301,118638,5978,0.050389,0.0358,ok
302,117116,4670,0.039875,0.0336,ok
303,10947,4955,0.452635,0.0249,ok
304,331384632,3344484,0.010092,7.119,ok
305,152616495,708202,0.00464,3.0682,ok
306,533519,9093,0.017043,0.0747,ok
307,15421170,89190,0.005784,0.4192,ok
308,1485360046,10353720,0.006971,29.1964,ok
309,150918042,673251,0.004461,2.5011,ok
310,115523,5179,0.044831,0.0653,ok
311,19062,5083,0.266656,0.029,ok
312,445592,7491,0.016811,0.13,ok
313,116477,5089,0.043691,0.0316,ok
314,422050,9511,0.022535,0.1489,ok
315,66454,5260,0.079152,0.08,ok
316,22325,6788,0.304054,0.066,ok
317,150194102,699035,0.004654,2.6441,ok
318,10628458,18991,0.001787,0.3852,ok
319,19796,7005,0.353859,0.0795,ok
320,18925,6681,0.353025,0.1219,ok
321,11076,5383,0.486006,0.0743,ok
322,15190968,81198,0.005345,0.3065,ok
323,33411103,356631,0.010674,0.7511,ok
324,1075175,6699,0.006231,0.0662,ok
325,120156,3798,0.031609,0.0687,ok
326,15419,4693,0.304365,0.0394,ok
327,486622,10026,0.020603,0.1514,ok
328,51765469,580153,0.011207,1.9134,ok
329,15098082,98323,0.006512,0.3854,ok
330,49657,5513,0.111022,0.0886,ok
331,11176,5135,0.459467,0.0704,ok
332,1489426048,10835085,0.007275,29.3776,ok
333,17002,4932,0.290084,0.0561,ok
334,55814,6018,0.107822,0.0573,ok
335,9686,4463,0.460768,0.0599,ok
336,14949160,93311,0.006242,0.3026,ok
337,333713777,3045220,0.009125,6.9649,ok
338,1074760,14240,0.013249,0.1212,ok
339,518473,7893,0.015224,0.0846,ok
340,598194,13510,0.022585,0.0643,ok
341,1084070,10507,0.009692,0.1008,ok
342,1069920,4755,0.004444,0.0643,ok
343,153175906,506739,0.003308,2.9622,ok
344,116801,5090,0.043578,0.085,ok
345,3282353,63476,0.019339,0.1283,ok
346,52709522,459004,0.008708,1.528,ok
347,15205034,72815,0.004789,0.3239,ok
348,548286,12091,0.022052,0.065,ok
349,53435965,543491,0.010171,1.5611,ok
350,13656,4801,0.351567,0.0312,ok
351,33349669,295030,0.008847,0.7604,ok
352,559363,13081,0.023386,0.0522,ok
353,10154,4234,0.416979,0.0449,ok
354,736639,8809,0.011958,0.136,ok
355,332800985,3485179,0.010472,7.3865,ok
356,53824,5041,0.093657,0.0357,ok
357,10753362,27158,0.002526,0.4358,ok
358,332184479,3186894,0.009594,6.5667,ok
359,1077449,6105,0.005666,0.0955,ok
360,55229041,470372,0.008517,1.8743,ok
361,153413162,554978,0.003618,2.9383,ok
362,1060031,5416,0.005109,0.0821,ok
363,155287215,615920,0.003966,2.6821,ok
364,536534,9088,0.016938,0.125,ok
365,55459,5611,0.101174,0.073,ok
366,52888064,415907,0.007864,1.6649,ok
367,,,,,timeout
368,11610,5179,0.446081,0.0977,ok
369,17398,6643,0.381825,0.0652,ok
370,424675,8458,0.019916,0.1354,ok
371,53734274,445067,0.008283,1.6812,ok
372,49819,5302,0.106425,0.0512,ok
373,10721953,26583,0.002479,0.4385,ok
374,12376,4651,0.375808,0.0225,ok
375,45089,5585,0.123866,0.0488,ok
376,12516,4984,0.39821,0.0598,ok
377,1478476085,12116933,0.008196,29.9424,ok
378,11008,4565,0.414698,0.0564,ok
379,503534,7116,0.014132,0.0758,ok
380,15052503,144449,0.009596,0.4388,ok
381,3299615,37025,0.011221,0.1245,ok
382,50818924,291670,0.005739,1.5939,ok
383,15488784,52450,0.003386,0.2922,ok
384,152865978,714667,0.004675,2.9799,ok
385,33269949,273468,0.00822,0.6922,ok
386,5600051,71099,0.012696,0.2794,ok
387,153109320,595562,0.00389,2.6402,ok
388,5277382,63307,0.011996,0.2843,ok
389,60697,5193,0.085556,0.0437,ok
390,10427,4313,0.413638,0.0253,ok
391,1085816,7356,0.006775,0.074,ok
392,1068955,9602,0.008983,0.115,ok
393,57016,5282,0.092641,0.0441,ok
394,116397,5081,0.043652,0.0661,ok
395,328702710,5290884,0.016096,7.7582,ok
396,117868,5909,0.050132,0.0619,ok
397,426610,10100,0.023675,0.1554,ok
398,10651856,27499,0.002582,0.458,ok
399,10084,4474,0.443673,0.0306,ok
400,120401,6324,0.052524,0.04,ok
401,1475597724,11817968,0.008009,29.8373,ok
402,3351101,28474,0.008497,0.1338,ok
403,57610185,557842,0.009683,1.6189,ok
404,10496,4369,0.416254,0.0313,ok
405,1461154746,11915290,0.008155,29.1962,ok
406,882327,12437,0.014096,0.1735,ok
407,1071009,5995,0.005598,0.0624,ok
408,,,,,timeout
409,1061726,7406,0.006975,0.0961,ok
410,10620226,22225,0.002093,0.4129,ok
411,10650350,18560,0.001743,0.4834,ok
412,10614,5084,0.47899,0.066,ok
413,51099773,423330,0.008284,1.6463,ok
414,327102842,6379076,0.019502,6.9857,ok
415,15683,4982,0.317669,0.0702,ok
416,10296,4860,0.472028,0.0445,ok
417,435360,10024,0.023025,0.1685,ok
418,559861,10907,0.019482,0.0756,ok
419,15953,7058,0.442425,0.0645,ok
420,1061630,6450,0.006076,0.0724,ok
421,5089088,41121,0.00808,0.2017,ok
422,139345698,1793206,0.012869,3.2678,ok
423,117260,5169,0.044082,0.0571,ok
424,138184416,1908189,0.013809,3.2405,ok
425,18320,7714,0.42107,0.1508,ok
426,1078423,6966,0.006459,0.152,ok
427,327432704,7047852,0.021525,7.7674,ok
428,14026954,167155,0.011917,0.3091,ok
429,1494390673,10568584,0.007072,29.4368,ok
430,147308634,1126485,0.007647,3.1266,ok
431,49904660,438055,0.008778,2.0016,ok
432,10698941,25022,0.002339,0.5322,ok
433,10649963,20584,0.001933,0.4105,ok
434,55395740,624356,0.011271,1.7402,ok
435,3291918,53584,0.016277,0.1162,ok
436,11159,5544,0.496819,0.0403,ok
